label,text
0,"FSR 4 use FP8 precision, only RDNA 4 can use. (3rd Gen Matrix core use it)

Even GeForce cannot use it."
1,"at a college event where I was invited as a guest, a student asked during the Q&A what did I think about the new Nvidia GeForce GPU's potential impact on RPG games. His smirk & his two friends next to him elbowing him told me what this was about. ""I don't know,"" I said. He sat down giggling, smirk intact. I guess, a lot of what I'd been talking about in the Q&A was related to games due to my past experience & present pursuits. And I know how self-proclaimed ""hardcore gamers"" get when people who have worked in mobile or casual gaming talk about gaming. 

A faculty member later apologised for his immature behaviour. I told him - I have worked in male-dominated spaces all my life, it's fine. My problem wasn't his question, it was the lack of sincerity. 

I've worked alongside some really top tier talent thanks to my career, and in quite exciting/glam spaces that too, what with Netflix and EA. The one trait absolutely nobody who is worth their salt ever demonstrates is cockiness. Not coz they aren't cocky (everyone's a little cocky about their strengths/passions deep down), but 'coz cockiness gets you nowhere in life. Like it or not, you need people to succeed, no matter how much you know. 

The truly smart ones know this, and therefore use every opportunity with anyone who has done anything remotely useful in life to extract from them whatever knowledge, insights, experience they possess. Whether or not you like or use it is up to you.

So yeah, if you find it useful to ask a person who has done product management in mobile gaming about gaming hardware, then go for it. But it might speak more to your stupidity than theirs. The era of the brilliant jerk is passé, non-brilliant jerks certainly don't stand a chance."
1,"For the five people in the world who somehow manage to own a NVIDIA RTX 50 series GPU AND use Steam VR:

The newest GeForce drivers have a fix for you"
1,"**CPU:** Quad-Core Alien Brain Processor 9000 – Harvested from the mind of a hyper-intelligent space pirate, clocking in at 5.0 GHz (with an overclock to ""2x Champion Mode"" at 10 GHz when the stakes are high).

**GPU:** NVIDIA GeForce RTX 9090 ""Two-Time Champion Edition"" – Features 24,000 CUDA cores and RGB lighting that pulses in sync with every time  I throw a patent pending point out.

**RAM:** 128GB of G.Skill ""Headshot Precision"" DDR5 – So fast it can load an entire MMORPG world before you can hit the subscribe button.

 **Storage:** 10TB SSD ""Vault of Victory"" – Includes a secret compartment for storing gaming montages and trash-talk stored audio messages from pathetic opponents.

**Cooling:** Liquid Nitrogen Chill System with ""Ego Boost"" Overdrive – Keeps the rig frosty while emitting a misty aura that screams ""I’m the best, and you know it.""

**Motherboard:** ASUS ""Championship Stomper"" Xtreme – Comes with built-in victory horns and a holographic display showing your kill/death ratio in real-time.

**Power Supply:** 2000W ""Unstoppable Force"" Unit – Powered by pure swagger, it never runs out of juice, even during 72-hour streaming marathons.

**Case Lighting:** 360-degree RGB ""Intimidation Glow"" – Shifts colors based on your in-game performance, turning blood-red when you’re on a 20-kill streak.

**Audio:** Bose ""Mic Drop"" Sound System – Blasts taunts and victory cries at 120 decibels, with bass so deep it rattles your opponent’s setup across the internet.

**Special Feature:** Built-in ""Championship Confidence Chip"" – Automatically adjusts your aim, reflexes, and trash-talking skills to hot shot levels, but only if you’re wearing aviators and a mullet wig while gaming.

In short el Duderino, This rig isn’t just a computer—it’s a monument to gaming greatness, designed to make my opponents  hesitate before the match even starts. 

Think about it."
1," New Driver Alert 

Download the latest GeForce Game Ready Driver for the best experience in your favorite games including NARAKA: BLADEPOINT featuring DLSS 4 with Multi Frame Generation.

Learn More: https://t.co/2kCjqJqeWA https://t.co/L6PW5H6uXv"
1,"The jungle hides many powerful artifacts and secrets... 

Including this custom Indiana Jones and the Great Circle PC built by @Czuga and featuring a GeForce RTX 5090!  https://t.co/VkJLGIBFFI"
1,New month new games - play on!  https://t.co/SC2DVwybyN
1,This one's a fact - the mind-blowing co-op adventure from @EA's Split Fiction is coming soon to #GeForceNOW!  https://t.co/LLm9FfsI29
1,"Welcome to our final week of #5YearsofGFN celebration. 

Which game in the @Halo Master Chief Collection are you dropping into first?  https://t.co/XA5L4ss9jI"
1,"NARAKA: BLADEPOINT is #RTXOn, featuring DLSS 4 with Multi Frame Generation, multiplying frame rates by up to 3.4X on GeForce RTX 50 Series GPUs.

Learn More: https://t.co/Vgao6kuVpB https://t.co/6zGrLE5Ayh"
1,"System integrator launches “ROP guarantee program” for all GeForce RTX 50 cards before shipping 
https://t.co/sP6z4Qe3k7"
1,"NVIDIA Reflex is now reducing PC latency in:

 Deadlock
 World of Warcraft Undermine(d)
 Fortnite Chapter 6 Season 2
 + more

#FramesWinGames  https://t.co/j7efbUH19f https://t.co/aHzMYkGzBV"
1,"New GeForce Game Ready Driver is up, Game Ready for Naraka: Bladepoint with DLSS 4 &amp; Monster Hunter Wilds! https://t.co/PmuKSXUMG1 https://t.co/ncOpXPIuyu"
1,"March right into Spring with some great games this #GFNThursday! 

A garden of gaming delights including @EA's Split Fiction, @assassinscreed Shadows, @Halo Master Chief Collection, and more await.

Full list: https://t.co/3Elfsukowa https://t.co/k5qqta4qf5"
1,"Agents, it's time!  

@TheDivisionGame 2 Year 6 Season 3 is now streaming on #GeForceNOW.  https://t.co/AD3GyTtJSa"
1,"Wuthering Waves is stunning with #RTXOn. 

Available now with ray tracing and DLSS Frame Generation. https://t.co/XSHOEw0Kx4"
1,"Kingdom Come: Deliverance II is #RTXOn.

Upgrade DLSS Super Resolution to our new transformer AI model for improved stability and detail, plus activate DLAA through our NVIDIA app Overrides. 

: @CineCaptures https://t.co/umOeWKtybU"
1,"NVIDIA confirms fix for GeForce RTX black screen issues: VBIOS and new driver coming this week 
https://t.co/uI0sL9Xv3a"
1,"NVIDIA GeForce RTX 5060 Ti said to be 180W, coming in 16GB and 8GB variants 
https://t.co/yOH9wGU5Ib"
1,"Pre-ordered my custom gaming PC: (As a reward for my hard work and past achievements)

- NVIDIA GeForce RTX 5090 - 32GB

- AMD Ryzen 7 9800X3D (Upgrading to 9950X3D)

- Custom EKWB Water-cooling Dual Loop CPU + GPU 720mm Radiator

- Gigabyte X870E Aorus Xtreme AI Top

- G.SKILL Trident Z5 Royal Neo Series DDR5 RAM 32GB 6000MT/s CL28 (32x2)

- Crucial T705 4TB Gen5 NVMe M.2 SSD - Up to 14,100 MB/s

- 7x Lian Li LCD Uni Fan

- 1500W Corsair HX1500i Ultra Low Noise 80+ Platinum

Separate order, delivered:

- ASUS ROG Swift 32” 4K OLED 240HZ Gaming Monitor (PG32UCDM)

- Herman Miller Logitech Embody gaming chair

'PC' likely arriving in mid to late March. (graphic card is out of stock)

Childhood dream fulfilled 

And yes, extreme overkill I know but imo every man should have at least one set of these maxed out pcs in their lifetime. wen urs? "
0,if AMD's $599 RX 9070 XT can deliver $749 RTX 5070 Ti performance then Nvidia's pricing is in trouble. Great to see some strong competition in this key part of the GPU market https://t.co/Wm69RBgN0s
1,Nvidia will probably tell you later this year that The RTX 5060 is better than the RX 9070 XT while using 4X Frame-Gen 
1,RTX 5070 Ti VS Radeon RX 9070 XT https://t.co/6wawlWqw8d
0,"I’ve seen this dude smearing and criticizing shit for the past two days.

First one was for F.E.A.R. Modders keeping the game working properly on modern hardware.

Another one he did was for Half-Life 2 RTX on not even his own page but the Alyx NoVR page.

and now this…"
0,"it's official: AMD's Radeon RX 9070 is $549 and the 9070 XT is $599, both ship March 6th. AMD is going head-to-head with Nvidia's RTX 50-series here. Full details below  https://t.co/ZOqCC4L0yL"
1,Who needs an RTX 5080 Gaming PC? https://t.co/3dPeaxeKdX
1,"For the five people in the world who somehow manage to own a NVIDIA RTX 50 series GPU AND use Steam VR:

The newest GeForce drivers have a fix for you"
1,"Final standalone version 
My Cyber Streets Tech Demo 
Unreal Engine 5.5.3 Nanite 

No DLSS NO Megalights NO RTX NO Lumen NO Pathtrace NO Baked all dynamic using Ambient Occlution, distance field meshes and SSR for reflections  
Lighting and rain vfx with Ultra Dynamic Sky 

150/200 fps RTX 4090 3k Epic Settings

Runs on Rog Ally AMD Ryzen Z1 Extreme 
16gb Ram, refresh rate 120hz and resolution set to 1280x720 
Epic Settings + Vsync 55 - 60 fps on 30W. 


https://t.co/D2ZNXwJ7ve

#futuristic #cyberpunk #scifi #ue5 #unreal #unrealengine5  #realism #photography #futureslums #realism #megascans #neon #cyberstreets #cinematic #quixel #realtime #videogames #cyberpunk2077 #lumen #videogame #cinematic #rtx4090 #scifi #artstationhq #quixel #tech 
 
@UnrealEngine @80Level @quixeltools"
1,"**CPU:** Quad-Core Alien Brain Processor 9000 – Harvested from the mind of a hyper-intelligent space pirate, clocking in at 5.0 GHz (with an overclock to ""2x Champion Mode"" at 10 GHz when the stakes are high).

**GPU:** NVIDIA GeForce RTX 9090 ""Two-Time Champion Edition"" – Features 24,000 CUDA cores and RGB lighting that pulses in sync with every time  I throw a patent pending point out.

**RAM:** 128GB of G.Skill ""Headshot Precision"" DDR5 – So fast it can load an entire MMORPG world before you can hit the subscribe button.

 **Storage:** 10TB SSD ""Vault of Victory"" – Includes a secret compartment for storing gaming montages and trash-talk stored audio messages from pathetic opponents.

**Cooling:** Liquid Nitrogen Chill System with ""Ego Boost"" Overdrive – Keeps the rig frosty while emitting a misty aura that screams ""I’m the best, and you know it.""

**Motherboard:** ASUS ""Championship Stomper"" Xtreme – Comes with built-in victory horns and a holographic display showing your kill/death ratio in real-time.

**Power Supply:** 2000W ""Unstoppable Force"" Unit – Powered by pure swagger, it never runs out of juice, even during 72-hour streaming marathons.

**Case Lighting:** 360-degree RGB ""Intimidation Glow"" – Shifts colors based on your in-game performance, turning blood-red when you’re on a 20-kill streak.

**Audio:** Bose ""Mic Drop"" Sound System – Blasts taunts and victory cries at 120 decibels, with bass so deep it rattles your opponent’s setup across the internet.

**Special Feature:** Built-in ""Championship Confidence Chip"" – Automatically adjusts your aim, reflexes, and trash-talking skills to hot shot levels, but only if you’re wearing aviators and a mullet wig while gaming.

In short el Duderino, This rig isn’t just a computer—it’s a monument to gaming greatness, designed to make my opponents  hesitate before the match even starts. 

Think about it."
1,"Still think Nvidia has a 90% PC ""gaming"" market share

Nvidia buys alot of RTX GPUs to make it look like market share
- Sponsors 130k RTX only cyber cafes in asia (millions of GPUs)
- Sponsors university RTX only computer labs (millions of GPUs)
- GeforceNow, omniverse, etc"
1,"The jungle hides many powerful artifacts and secrets... 

Including this custom Indiana Jones and the Great Circle PC built by @Czuga and featuring a GeForce RTX 5090!  https://t.co/VkJLGIBFFI"
1,"Who wants an RTX 5070ti PC shipped as soon as tomorrow?

https://t.co/0CDKTB8Pzz https://t.co/naOXYj3kJD"
1,"NARAKA: BLADEPOINT is #RTXOn, featuring DLSS 4 with Multi Frame Generation, multiplying frame rates by up to 3.4X on GeForce RTX 50 Series GPUs.

Learn More: https://t.co/Vgao6kuVpB https://t.co/6zGrLE5Ayh"
1,"System integrator launches “ROP guarantee program” for all GeForce RTX 50 cards before shipping 
https://t.co/sP6z4Qe3k7"
1,Nvidia has released its latest driver update (572.60) today and it fixes the black screen issues on RTX 50-series cards https://t.co/8BbfDIQECk https://t.co/q8u8Ki4ERY
1,"I've been testing Nested Instances in Solaris &amp; KarmaXPU: 1,500 animated tree instances, 45K instanced leaves per tree, 20K instanced plants. Added a VDB skybox for mist/fog to push Karma bit harder. ~2 mins/frame on RTX 4090. https://t.co/XdNiA16ol0"
1,"Major U.S. Def Contractors. Past month.

Lockheed Martin:   -12.35%
RTX:    +1.81%
Northrop Grumman:   -9.61%
Boeing:   -1.21%
General Dynamics:   -7.63%
L3Harris:   -8.98%
Huntington Ingalls Industries:   -14.68%
Leidos:   -12.71%
Amentum:   -7.34%
Booz Allen Hamilton:   -16.17%"
1," The Ultimate $Turbo Giveaway! 

Win a jaw-dropping Nvidia RTX 3080 Founders Edition featuring exclusive $Turbo artwork, worth $1100! 

How to Enter:

 Tag 3 friends who’d love this!
 Like, Retweet & Comment on this post 
 Follow @TurboToadToken 
 Hold at least $500 worth of Turbo Tokens & and screenshot it here 

 Don’t let this beast slip away – Enter NOW!  Good luck toads 

 Contest ends  12.03.2025 at 20:00 UTC! 
 Winner will be announced within the next 2-3 days after the it Contest ends.

#Nvidia #Turbo #Giveaway 

1/2"
1,"Oh nice the RTX 5080 is already here

&gt;Checks price
&gt;A 4090 is cheaper

"
1,"Just got the Lenovo legion 7 pro, RTX 4090

More buttons to aid my “clicking” https://t.co/P9fPtWv56k"
1,"1,000 AI use cases for JPM?

But AI is just a passing fad. A fleeting moment…NVIDIA demand is overstated. DeepSeek ended the need for compute. lol.

Exciting times ahead. 

$JPM $NVDA"
1,"Final Chance for $RVV!

No more discounts. This is your last opportunity, and once it’s gone, it’s gone.

- Backed by NVIDIA, Shiba Inu, and elite Saudi funds
- CEX campaigns with OKX, https://t.co/1bzSU18otz, and KuCoin
- 150+ years of AAA gaming & AI expertise

TGE is coming this March, don’t miss out!

Join now: https://t.co/DATrqXa5LW
Code: 3938190430 (5% bonus tokens!) 

Act fast before it’s too late!"
1,"Hey Web3 Family Alpha time!  

A project with over 20 Iconic global IP as partnerships! such as Warner bros to Hello kitty, I introduce you @Kindred_AI  

Introduction

The first AI that's the start of everything before any other!

Kindred is an official Nvidia Inception Partner. Think about an AI that is alive, can think for itself and speak as an AI companion! Yes

It's the first in it's genre an AI project designed for XR eco system that's connecting with big names such as Nasdaq, dollar tech giant

They already had over 100k people in their pilot campaigns!!

Collection Details

1000 supply free mint NFT (project very strict in giving WL ) collection that brings ''tons of Airdrops'' why?

The connection kindred makes nft holders to be eligible to over +20 IPs and ai agents and everything Kindred includes such as $KIN token

Also   is the alpha!!

Socials

Twitter: https://t.co/mEVrCJ0ZMd

Website: https://t.co/rLOnPbfQS5"
1,"This is what honest marketing looks like!

No 4X Frame-gen, no AI, not claiming better performance than the competitor. Just a very good price to performance GPU for less than 150$ compared to Nvidia. https://t.co/FiyQYO3GAQ"
0,Gaming GPU prices and availability will not improve anytime soon. In 2022 Nvidia was mainly a gaming hardware manufacturer. Today gaming is just a tiny fraction of their revenue. AI GPUs sell for 10x+ price each. That's where the money is nowadays. https://t.co/ck1Hw5zHzO
1,"Meanwhile, Nvidia is ramping up “apex predator” liquid cooled Blackwell AI server with 30X performance, 72 GPUs versus prior 8 GPUs, more than one million parts in one rack, weighing 1.5 tons with Blackwell Ultra on track for later this year and “big step up” Rubin coming next in a world dying under reasoning model 100X compute consumption and no real comparable performant data center scale rack server competition and Amazon/OpenAI crying about GPU shortage on same day."
1,"Who is awake?

Do this now for a confirmed Airdrop that cost $0

@Gamerboom_  a gaming data layer powered by an AI tagging system, aiming to bring billions into Web3 and Backed by NVIDIA,Solana Foundation,Bing Venture

 Raised: $11 million  

 Go to: https://t.co/QKZjixMe07

 Connect your wallet to sign in or use your social login (scroll to the bottom of the page)

 Once logged in, complete all the social quest to earn some points 

 Go to ""Settings"" and connect other wallet address, submit and verify email and connect other socials

 Bookmark the web page

 Check in daily and complete social tasks and that’s it. 

 Reply with your invite link in the comment.

That would be all for now.

Like and Retweet"
1,"Great to be on @BloombergRadio with @ptsweeney @tomkeene from Singapore  discussing Nvidia and why this is the start of the AI Revolution and we remain firmly bullish on tech stocks despite tariff worries today driving tech stocks lower  

https://t.co/Hgp6UDVUPL"
1,"Great to be on @BNNBloomberg with @JonErlichman discussing Nvidia and why this is the start of the AI Revolution and we remain firmly bullish on tech stocks despite tariff worries today driving tech stocks lower  

https://t.co/NdSZrTMZJz https://t.co/2bbKHzXHBS"
1,Great to be on @cnni with @jimsciutto discussing Nvidia and why this is the core foundation of the AI Revolution and we remain firmly bullish on tech stocks despite tariffs worries  https://t.co/FVGzrr6rXQ
1,"Congrats once again to our development partner, NVIDIA, for their continued success in pushing the boundaries of what’s possible.

NVIDIA has demonstrated remarkable financial performance in its most recent quarter, driven by the escalating demand for AI and accelerated computing technologies.

At AMGI Studios, we’re proud to be at the forefront in AI driven entertainment, pioneering the future where gaming, AI, and blockchain seamlessly converge. 

Working alongside NVIDIA as a Development Partner to push the boundaries of AI animation, AI chatbots, and AI in gaming, both in web2 & web3 — especially within My Pet Hooligan and our animation workflows.

That’s why we’re thrilled to congratulate NVIDIA on yet another groundbreaking quarter! Their continued dominance in AI and accelerated computing is paving the way for the future of entertainment, gaming, and beyond.

NVIDIA’s Record Breaking Quarter

NVIDIA’s latest financial results prove that the AI revolution is here, and they’re leading the charge:

Key Financial Highlights:

- Record Revenue: NVIDIA reported a quarterly revenue of $39.3 billion, representing a 78% increase from the same period last year.

- Earnings Surge: GAAP earnings per diluted share reached $0.89, up 82% year-over-year.

- Data Center Dominance: Data Center revenue hit a record $35.6 billion, reflecting a 93% increase from the previous year, underscoring NVIDIA's leadership in AI infrastructure.

AI is transforming the way we work, create, and play. At AMGI, we are bringing that power to entertainment.

The Future of AI Entertainment with NVIDIA

At AMGI Studios, we’re harnessing the same cutting-edge AI technology to revolutionize how animation and gaming are created. From AI powered animated characters to real-time game interactions in My Pet Hooligan, our partnership with NVIDIA is helping bring AI to life in ways never imagined before.

We are revolutionizing AI driven entertainment with our Chatbuddy technology and AMGI LLM, a powerful AI architecture designed to deliver personalized, engaging character interactions. 

Integrated into My Pet Hooligan, our LLM Server allows seamless switching between top tier AI models like ChatGPT, Llama 3.2, and our proprietary AMGI LLM balancing cost, performance, and response quality. This system enables advanced query routing, real-time memory retention, and multimodal capabilities, including text, image, and speech-based interactions. 

With dynamic character animations, web integrated knowledge retrieval, and custom AI voices, Chatbuddy brings characters to life in a way never seen before, making AI entertainment more immersive, responsive, and adaptable.

Our AI driven infrastructure ensures security, scalability, and efficiency, with innovations like chat summarization, local LLM execution for privacy and speed, and vision models for real-time emotional expression capture. By pioneering serverless architecture and AI powered animations, we are setting a new standard for AI in gaming, animation, and interactive entertainment. 

Integrated into My Pet Hooligan, our LLM Server allows seamless switching between top tier AI models like ChatGPT and Llama 3.2, balancing cost, performance, and response quality. This system enables advanced query routing, real-time memory retention, and multimodal capabilities, including text, image, and speech based interactions. With dynamic character animations, web integrated knowledge retrieval, and custom AI voices, Chatbuddy brings characters to life in a way never seen before, making AI entertainment more immersive, responsive, and adaptable.

In a gaming environment like My Pet Hooligan, Chatbuddy will redefine player interaction, making NPCs feel alive, adaptive, and deeply engaging. Imagine AI driven characters that remember past interactions, form unique relationships with players, and respond dynamically to in game events with emotion, strategy, and personality. Whether it's organic in game storytelling, AI powered rivals that evolve with players, or companions with real personalities, Chatbuddy transforms games into living, breathing worlds that react and adapt in real time.

At AMGI Studios, we are thrilled to be working alongside NVIDIA as a Development Partner, forging the future of AI powered storytelling and gaming experiences.

The future of AI in entertainment is limitless, and we’re honored to be building it alongside NVIDIA.

Here’s to shaping the future together!"
1,"$PALM will be attending the next @nvidia GTC 2025 Summit!

Based off of our previous attendance, we've been invited to attend again - and this time we're ready to do even better.

Last time we had the pleasure of showcasing $PALM to Google's AI engineer team and received positive feedback from there, along with many other connections we picked up.

Now, with tens of products and upcoming product lines ready, we'll be taking full advantage and demoing live our new Web2 Revenue Streams, which relate to Corporate Systems Management.

The Web2 revenue part of $PALM secures Revenue Share for our holders even at times like this. Get $PALM today and join the DAO to vote on both revenue and buybacks and keep a cool mind knowing that the team has got you covered.

We will be taking requests to meet up or discuss by email in the first week of March, shoot us one if interested!"
1,"INTRODUCING THE ALPHA ASTRA NOVA ( @Astra__Nova )

Definitely the biggest AI Agent gaming ecosystem backed by the biggest Meme community Shiba Inu and Tier 1 Saudi funds

WHY ASTRA NOVA??

• NVIDIA Inception Partnership 

• Shiba Inu Partnership

• backing from the Black Rock of Saudi Arabia: Sanabil

Astra Nova is truly creating a AI-driven gaming ecosystem that evolves with player behavior.

Big players are already watching and hoping on the ongoing presale. Big plans from Astra

Access Pre-Sale

 Use the Entry code: 4831242430 to access the sale on https://t.co/9HuvEXsZS3

 Follow the detailed guide in the Medium article for step-by-step instructions.

https://t.co/n3ivqJEikV"
